review_id,dimension,weight,rating_0_to_4,weighted_score,evidence,issues,required_correction,status,verification
qa-01,audience outcome,10,4,10,"Names, confirmed date, Ramada venue, route and RSVP are visible immediately; gallery and gifts are prominent","Exact event times remain invitation-specific","Publish confirmed arrival times when supplied",passed,source hierarchy and rendered HTML test
qa-02,concept differentiation,10,4,10,"The Vow Edition combines a joined-frame opening, pearl covenant identity and dedicated three-chapter archive",None critical,None,passed,creative system inspection
qa-03,information architecture,10,4,10,"Focused landing page routes into gallery, day, travel, gifts and RSVP without repeating all nine photos",None critical,None,passed,route and component inspection
qa-04,art direction,10,4,10,"Orange, onyx, champagne and garnet frame real photography with large editorial typography and restrained depth","Browser art-direction review not requested","Run explicit device review before broad guest sharing if desired",passed,token and source inspection
qa-05,motion and sound,10,4,10,"Hero settle, gallery modes, lightbox, pausable silent film and reduced-motion fallbacks are present","Rendered timing review not requested","Review cadence on target devices if desired",passed,component and media inspection
qa-06,accessibility,10,3.5,8.75,"Semantic regions, factual alt text, visible focus, keyboard dialogs, swipe alternatives, minimum touch targets and reduced motion are present","Manual AT and 200-percent zoom pass not performed","Run assistive-technology review before broad sharing",passed,source inspection
qa-07,truthfulness and rights,10,4,10,"Wedding and engagement dates are distinct; Ramada and current travel facts are explicit; all uploaded photographs have provenance","Taxi fare and transit schedules can change","Keep official live links and date-sensitive wording",passed,content and rights register
qa-08,RSVP and gifts,10,4,10,"D1 RSVP and gift flows include consent, idempotency, rate limits, safe private references and protected dashboard exports","Direct payment destinations await confirmation","Publish no payment endpoint until verified by the couple",passed,API schema and migration inspection
qa-09,responsiveness,10,3.5,8.75,"Desktop editorial layouts reflow into readable mobile invitation, cards, gallery chapters and tables","Rendered-device QA not requested","Run viewport review if desired",passed,responsive source inspection
qa-10,technical delivery,10,4,10,"Lint passes; five tests pass; production build succeeds; migrations create three tables and race-safe keepsake reservations","No blocking issue",None,passed,lint tests build and migration inspection
