asset_id,filename_or_version,creator_or_source,source_reference,asset_type,ownership_or_license,permitted_media,ai_tool_model_and_date,prompt_or_reference_inputs,material_edits,synthetic_disclosure,restrictions,approval_status,checksum
ast-editorial-film,public/wedding-editorial.mp4,Higgsfield generation,job a4e4df2e-273a-4f6e-8f98-6323df5b3fdd,video,generated original,wedding website,Higgsfield Seedance 2.5 2026-08-31,"original text prompt; no uploaded likeness references","audio removed; faststart remux",synthetic editorial still life,"no claim that imagery depicts the couple",approved,73a0762d3e61963023937479e63bd8fba2d4a2f4a0f4dedb3ab6620615005ba4
ast-editorial-poster,public/wedding-editorial-poster.jpg,Derivative of ast-editorial-film,frame at 2.2s,image,generated original,wedding website,FFmpeg 2026-08-31,ast-editorial-film,"1600px JPEG extraction",synthetic editorial still life,"poster fallback only",approved,73bdcd9cff7be8f6cca954ca20a15eae0646c56362ce5191649e10241a8cbf1e
ast-kp-crest,public/kp-crest-mark.webp,User-provided K&P identity asset,existing project Library asset,image,user-owned project material,wedding website,n/a,Kingsford-Perla-Foil-Transparent.png,"cropped to crest and optimised to WebP",not applicable,"use only for Kingsford and Perla project",approved,cbd1bfe053114871f98c23b3319ed4c5fd9e1d29898b25a9e12e7a7834579bcb
ast-kp-garnet-seal,public/kp-garnet-seal.webp,User-provided K&P identity asset,existing project Library asset,image,user-owned project material,wedding website,n/a,Kingsford & Perla Garnet Seal.png,"resized and optimised to WebP",not applicable,"use only for Kingsford and Perla project",approved,f96a6683764905febad4db2c70b841c2b843bc59bd8405f7ec7bf16da9fd8baa
ast-kp-pearl,public/kp-pearl-monogram.webp,User-provided K&P identity asset,existing project Library asset,image,user-owned project material,wedding website,n/a,Kingsford-Perla_Pearl-Blush_Hero.png,"resized and optimised to WebP",not applicable,"use only for Kingsford and Perla project",approved,ca966cf370fc017767d3d10da98d3b1ad0c8c6bdfbf691334a8451b390afc9ab
ast-covenant-rings,public/covenant-rings.webp,OpenAI image generation,original generation,image,generated original,wedding website,OpenAI image generation 2026-08-30,Covenant still-life prompt,"converted to WebP",synthetic editorial still life,"exactly two rings; no people text or logos",approved,a15a18c7f7c9d8ad292ec5b4c77332d7bfb4ccc24ba74290dece87bc53ab3327
ast-reception-horizon,public/reception-horizon.webp,OpenAI image generation,original generation,image,generated original,wedding website,OpenAI image generation 2026-08-30,Candlelit reception prompt,"converted to WebP",synthetic aspirational environment,"not a confirmed venue",approved,43bd996bf0ced9e77316a463373a9b4dd2d94d27e939558bc1edd6a8f863bc14
ast-engagement-perla,public/engagement-perla.webp,User-provided engagement photograph,IMG_1662.JPG,image,user-authorized project material,wedding website,n/a,User upload,"resized; converted to WebP; metadata stripped",not applicable,"use only for Kingsford and Perla project",approved,00b2e76543b216a102a2d452521b450f9ec7909342de243a83758741250399a3
ast-engagement-candid,public/engagement-candid.webp,User-provided engagement photograph,IMG_1797(1).JPG,image,user-authorized project material,wedding website,n/a,User upload,"resized; converted to WebP; metadata stripped",not applicable,"use only for Kingsford and Perla project",approved,aa263766a9c8e9a6c266cf0cddf3d1190af39fbe633e5ed15bb8eab0a4196bb1
ast-engagement-laughter,public/engagement-laughter.webp,User-provided engagement photograph,IMG_1808(1).JPG,image,user-authorized project material,wedding website,n/a,User upload,"resized; converted to WebP; metadata stripped",not applicable,"use only for Kingsford and Perla project",approved,1a36afacd9d08662e04c460a9deedbcdea30f60a74203557f81038c5a3614afe
